building_id,campus_name,building_name,building_type
1,邯郸校区,光华楼,教学楼
2,邯郸校区,理科楼,教学楼
3,邯郸校区,文科楼,教学楼
4,邯郸校区,图书馆（邯郸）,图书馆
5,邯郸校区,旦苑食堂,食堂
6,邯郸校区,南区宿舍1号楼,宿舍楼
7,邯郸校区,北区宿舍1号楼,宿舍楼
8,邯郸校区,正大体育馆,体育馆
9,邯郸校区,行政楼（邯郸）,办公楼
10,邯郸校区,校史馆,其他
11,江湾校区,交叉学科楼A,教学楼
12,江湾校区,交叉学科楼B,教学楼
13,江湾校区,信息学楼,实验楼
14,江湾校区,法学楼（江湾）,教学楼
15,江湾校区,图书馆（江湾）,图书馆
16,江湾校区,江湾食堂,食堂
17,江湾校区,江湾宿舍1号楼,宿舍楼
18,江湾校区,江湾宿舍2号楼,宿舍楼
19,江湾校区,江湾体育中心,体育馆
20,江湾校区,后勤服务楼（江湾）,其他
21,枫林校区,基础医学院楼,实验楼
22,枫林校区,公共卫生学院楼,教学楼
23,枫林校区,护理学院楼,教学楼
24,枫林校区,枫林图书馆,图书馆
25,枫林校区,枫林食堂,食堂
26,枫林校区,枫林宿舍1号楼,宿舍楼
27,枫林校区,枫林宿舍2号楼,宿舍楼
28,枫林校区,科研楼（枫林）A,实验楼
29,枫林校区,行政楼（枫林）,办公楼
30,枫林校区,学术交流中心（枫林）,其他
31,张江校区,张江科研楼A,实验楼
32,张江校区,张江科研楼B,实验楼
33,张江校区,张江教学楼,教学楼
34,张江校区,张江图书馆,图书馆
35,张江校区,张江食堂,食堂
36,张江校区,张江宿舍1号楼,宿舍楼
37,张江校区,张江宿舍2号楼,宿舍楼
38,张江校区,张江体育中心,体育馆
39,张江校区,创新创业中心（张江）,办公楼
40,张江校区,后勤保障楼（张江）,其他
