facility_id,building_name,facility_name,facility_type,open_time
1,光华楼,光华楼 101教室,教室,08:00-21:50
2,光华楼,光华楼 201教室,教室,08:00-21:50
3,光华楼,光华楼 自习室,自习室,07:00-23:00
4,光华楼,光华楼 水吧,水吧,09:00-20:30
5,光华楼,光华楼 一层卫生间,卫生间,06:00-23:30
6,理科楼,理科楼 101教室,教室,08:00-21:50
7,理科楼,理科楼 201教室,教室,08:00-21:50
8,理科楼,理科楼 自习室,自习室,07:00-23:00
9,理科楼,理科楼 水吧,水吧,09:00-20:30
10,理科楼,理科楼 一层卫生间,卫生间,06:00-23:30
11,文科楼,文科楼 101教室,教室,08:00-21:50
12,文科楼,文科楼 201教室,教室,08:00-21:50
13,文科楼,文科楼 自习室,自习室,07:00-23:00
14,文科楼,文科楼 水吧,水吧,09:00-20:30
15,文科楼,文科楼 一层卫生间,卫生间,06:00-23:30
16,图书馆（邯郸）,图书馆（邯郸） 阅览室A,自习室,08:00-22:00
17,图书馆（邯郸）,图书馆（邯郸） 阅览室B,自习室,08:00-22:00
18,图书馆（邯郸）,图书馆（邯郸） 信息咨询台,办公室,08:30-17:30
19,图书馆（邯郸）,图书馆（邯郸） 咖啡角,水吧,09:00-20:30
20,图书馆（邯郸）,图书馆（邯郸） 一层卫生间,卫生间,08:00-22:00
21,旦苑食堂,旦苑食堂 一层餐厅,食堂,06:30-20:00
22,旦苑食堂,旦苑食堂 二层餐厅,食堂,06:30-20:00
23,旦苑食堂,旦苑食堂 现磨咖啡,水吧,07:30-20:30
24,旦苑食堂,旦苑食堂 后勤办公室,办公室,08:30-17:30
25,旦苑食堂,旦苑食堂 公共卫生间,卫生间,06:00-21:30
26,南区宿舍1号楼,南区宿舍1号楼 101寝室,寝室,24h
27,南区宿舍1号楼,南区宿舍1号楼 201寝室,寝室,24h
28,南区宿舍1号楼,南区宿舍1号楼 自习室,自习室,18:00-23:30
29,南区宿舍1号楼,南区宿舍1号楼 楼管办公室,办公室,24h
30,南区宿舍1号楼,南区宿舍1号楼 公共卫生间,卫生间,24h
31,北区宿舍1号楼,北区宿舍1号楼 101寝室,寝室,24h
32,北区宿舍1号楼,北区宿舍1号楼 201寝室,寝室,24h
33,北区宿舍1号楼,北区宿舍1号楼 自习室,自习室,18:00-23:30
34,北区宿舍1号楼,北区宿舍1号楼 楼管办公室,办公室,24h
35,北区宿舍1号楼,北区宿舍1号楼 公共卫生间,卫生间,24h
36,正大体育馆,正大体育馆 器材室,办公室,08:00-22:00
37,正大体育馆,正大体育馆 训练室,自习室,08:00-22:00
38,正大体育馆,正大体育馆 水吧,水吧,10:00-21:30
39,正大体育馆,正大体育馆 男卫生间,卫生间,08:00-22:00
40,正大体育馆,正大体育馆 女卫生间,卫生间,08:00-22:00
