teacher_id,course_id,semester,section_no,teach_role,start_time,end_time,create_time,update_time
1,CS20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
51,CS20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
2,CS20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
52,CS20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
3,CS20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
53,CS20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
4,CS20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
54,CS20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
5,CS20005,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
55,CS20005,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
6,CS20006,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
56,CS20006,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
7,CS20007,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
57,CS20007,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
8,EE20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
58,EE20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
9,EE20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
59,EE20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
10,EE20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
60,EE20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
11,EE20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
61,EE20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
12,EE20005,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
62,EE20005,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
13,MA20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
63,MA20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
14,MA20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
64,MA20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
15,MA20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
65,MA20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
16,MA20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
66,MA20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
17,MA20005,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
67,MA20005,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
18,PH20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
68,PH20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
19,PH20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
69,PH20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
20,PH20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
70,PH20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
21,PH20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
71,PH20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
22,PH20005,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
72,PH20005,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
23,CH20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
73,CH20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
24,CH20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
74,CH20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
25,CH20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
75,CH20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
26,CH20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
76,CH20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
27,BI20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
77,BI20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
28,BI20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
78,BI20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
29,BI20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
79,BI20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
30,BI20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
80,BI20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
31,JR20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
81,JR20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
32,JR20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
82,JR20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
33,JR20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
83,JR20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
34,EC20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
84,EC20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
35,EC20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
85,EC20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
36,EC20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
86,EC20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
37,EC20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
87,EC20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
38,MG20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
88,MG20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
39,MG20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
89,MG20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
40,MG20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
90,MG20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
41,MG20004,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
91,MG20004,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
42,FL20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
92,FL20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
43,FL20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
93,FL20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
44,FL20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
94,FL20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
45,LW20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
95,LW20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
46,LW20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
96,LW20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
47,LW20003,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
97,LW20003,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
48,MD20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
98,MD20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
49,MD20002,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
99,MD20002,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
50,SP20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
100,SP20001,2025-Fall,01,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
1,CS20001,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
51,CS20001,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
2,CS20002,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
52,CS20002,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
3,CS20003,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
53,CS20003,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
4,CS20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
54,CS20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
5,CS20008,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
55,CS20008,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
6,CS20009,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
56,CS20009,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
7,CS20010,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
57,CS20010,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
8,EE20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
58,EE20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
9,EE20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
59,EE20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
10,EE20008,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
60,EE20008,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
11,EE20009,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
61,EE20009,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
12,EE20010,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
62,EE20010,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
13,MA20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
63,MA20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
